# Gabbard et al. (2025), experimental data, extracted from
# "LowWeberDropRebound - Data.xlsx" (harrislab-brown/LowWeberDropRebound),
# sheet 2, the Experiment block. Dimensionless throughout.
We,We_unc,cor,cor_unc,Oh,Bo
0.08211603089005175,0.008048289574129805,0.8049342850709418,0.08704673000806298,0.029489590655871735,0.020900032027124763
0.045171141154674965,0.005064778374311587,0.8510445443304696,0.0759422082649169,0.02946672979013578,0.02096496615977311
0.041281330531786495,0.0037090888928031445,0.8185372988021428,0.07428972137782222,0.029311291932670763,0.02141322520311615
0.33573430914763613,0.030083511295584807,0.7964397280661096,0.059508979048374086,0.03022034384005479,0.018950659261964476
0.36696052299082405,0.037839553360107324,0.8238189682056737,0.06921877192411577,0.02996945173735324,0.01959326156455023
0.22420190416441146,0.026730609727214714,0.8012837236492458,0.07935229230117354,0.030340974953379115,0.018651072078397994
0.396701631016767,0.028694253540475674,0.7870959943686766,0.05529305873990309,0.030479946349694524,0.01831323782290531
0.23406267354333735,0.02414281764048968,0.8168588707880741,0.07366141772847812,0.030545599035600488,0.0181562996607872
0.20893216276320897,0.022978235030090412,0.8265322064491972,0.0785995633047155,0.030602647119703497,0.01802129311500396
0.12856695167915652,0.01824520237990775,0.8639245437045935,0.09235171044806607,0.030553479491065752,0.018137575172798487
0.08260273529603286,0.010480539549055217,0.8140737932599398,0.08533919247469646,0.030546301475679397,0.018154629635673557
0.05539923490314944,0.00725206627856092,0.784186196667033,0.0978842923800975,0.030547625458275718,0.018151482438377484
0.14227620298006477,0.017459263316853452,0.83341174638435,0.08912461664124045,0.03245575865438703,0.014244751171512728
0.09263416351556142,0.008091588346824588,0.8085304894696268,0.06410893914458493,0.032465005345441236,0.014228529329059748
0.05495422608859489,0.0060943341632772995,0.8306699177515081,0.0778108332085046,0.032576558780049655,0.014034634445812533
0.034119487245275665,0.004445012797759243,0.8431375940092842,0.093506145121528,0.032826918762570975,0.013611357683926817
0.14771961216030227,0.018359401873911524,0.8039864334325711,0.08837290340409801,0.03204769458006922,0.014984241226933426
0.09215142345734052,0.010321484849126109,0.8162675329752486,0.09265165479921758,0.032021265819394074,0.015033771495210459
0.059994682893757166,0.006386449049937302,0.7921291469559416,0.07209059129446263,0.032041516928180004,0.014995800504913673
0.034531616855973335,0.004656193737221194,0.8237755789081515,0.10672980421140037,0.032085494891253404,0.014913753446817342
0.01998032649463566,0.002522311245417926,0.7730997947891137,0.08874349774411583,0.03215234437774991,0.014790108121053629
0.011923680878084111,0.001487435353038458,0.7610745071121152,0.08952790389897727,0.032222795456232384,0.0146611848792629
0.1352647358261837,0.017964526441082363,0.8437828409150394,0.09699347011928201,0.03137083901589271,0.016319896189576466
0.0832797352382362,0.010513853461012173,0.8092884928863995,0.09132926931611801,0.03137083901589271,0.016319896189576466
0.05121404650438502,0.006232741263899033,0.8169618006019784,0.08525877992790028,0.03137083901589271,0.016319896189576466
0.03168793901948128,0.004072239139853866,0.8133353636989705,0.09095959417461275,0.03137083901589271,0.016319896189576466
0.02038244458405597,0.002559406507974525,0.7780037625215694,0.09424766225045896,0.03137083901589271,0.016319896189576466
0.011176606179940143,0.0012763705626907724,0.806468561584373,0.09155651037427429,0.03137083901589271,0.016319896189576466
