gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
72.8,1,0.213155,0.00677682,0.0120914,0.934911
72.8,1,0.271081,0.00677682,0.0120914,0.924701
72.8,1,0.344747,0.00677682,0.0120914,0.91267
72.8,1,0.438433,0.00677682,0.0120914,0.898815
72.8,1,0.557578,0.00677682,0.0120914,0.883116
72.8,1,0.7091,0.00677682,0.0120914,0.865397
72.8,1,0.901799,0.00677682,0.0120914,0.845798
72.8,1,1.14686,0.00677682,0.0120914,0.82452
72.8,1,1.45853,0.00677682,0.0120914,0.801762
72.8,1,1.85488,0.00677682,0.0120914,0.777859
72.8,1,2.35895,0.00677682,0.0120914,0.752704
72.8,1,3,0.00677682,0.0120914,0.7276
72.8,2,0.0002,0.0135536,0.0120914,0
72.8,2,0.000225544,0.0135536,0.0120914,0
72.8,2,0.00025435,0.0135536,0.0120914,0
72.8,2,0.00032347,0.0135536,0.0120914,0
72.8,2,0.000364784,0.0135536,0.0120914,0
72.8,2,0.000411374,0.0135536,0.0120914,0
72.8,2,0.000463915,0.0135536,0.0120914,0
72.8,2,0.000523166,0.0135536,0.0120914,0
72.8,2,0.000539125,0.0135536,0.0120914,0.460528
72.8,2,0.000555571,0.0135536,0.0120914,0.619887
72.8,2,0.000572519,0.0135536,0.0120914,0.703675
72.8,2,0.000589984,0.0135536,0.0120914,0.756672
72.8,2,0.000607982,0.0135536,0.0120914,0.793465
72.8,2,0.000626529,0.0135536,0.0120914,0.820552
72.8,2,0.000645641,0.0135536,0.0120914,0.841323
72.8,2,0.000665337,0.0135536,0.0120914,0.857738
72.8,2,0.000706548,0.0135536,0.0120914,0.881925
72.8,2,0.000750313,0.0135536,0.0120914,0.898676
72.8,2,0.000846143,0.0135536,0.0120914,0.919602
72.8,2,0.000954212,0.0135536,0.0120914,0.931308
72.8,2,0.00107608,0.0135536,0.0120914,0.938145
72.8,2,0.00136851,0.0135536,0.0120914,0.944596
72.8,2,0.0015433,0.0135536,0.0120914,0.946393
72.8,2,0.00174041,0.0135536,0.0120914,0.947535
72.8,2,0.00221336,0.0135536,0.0120914,0.946788
72.8,2,0.00281485,0.0135536,0.0120914,0.943337
72.8,2,0.00357979,0.0135536,0.0120914,0.941836
72.8,2,0.0045526,0.0135536,0.0120914,0.940212
72.8,2,0.00578978,0.0135536,0.0120914,0.939333
72.8,2,0.00736316,0.0135536,0.0120914,0.940554
72.8,2,0.00936411,0.0135536,0.0120914,0.942115
72.8,2,0.0119088,0.0135536,0.0120914,0.943425
72.8,2,0.0151451,0.0135536,0.0120914,0.944588
72.8,2,0.0192608,0.0135536,0.0120914,0.945387
72.8,2,0.0244949,0.0135536,0.0120914,0.945645
72.8,2,0.0311514,0.0135536,0.0120914,0.945985
72.8,2,0.0396169,0.0135536,0.0120914,0.945621
72.8,2,0.0503828,0.0135536,0.0120914,0.944589
72.8,2,0.0640744,0.0135536,0.0120914,0.942694
72.8,2,0.0814868,0.0135536,0.0120914,0.939342
72.8,2,0.103631,0.0135536,0.0120914,0.934448
72.8,2,0.131793,0.0135536,0.0120914,0.927746
72.8,2,0.167608,0.0135536,0.0120914,0.919059
72.8,2,0.213155,0.0135536,0.0120914,0.908451
72.8,2,0.271081,0.0135536,0.0120914,0.89573
72.8,2,0.344747,0.0135536,0.0120914,0.88101
72.8,2,0.438433,0.0135536,0.0120914,0.864281
