surface,population,R_m,Oh,Bo,We,cor_theirs,We_ours,cor_ours
glaco,small,4.8538987e-05,0.016941069,0.00032004651,1.716275e-05,0.93186967,4.3608899e-06,0.93186967
glaco,small,4.8538987e-05,0.016941069,0.00032004651,2.0828323e-05,0.95462272,8.0264632e-06,0.95462272
glaco,small,4.8538987e-05,0.016941069,0.00032004651,2.527678e-05,0.96647237,1.247492e-05,0.96647237
glaco,small,4.8538987e-05,0.016941069,0.00032004651,3.0675325e-05,0.9718202,1.7873465e-05,0.9718202
glaco,small,4.8538987e-05,0.016941069,0.00032004651,3.7226878e-05,0.97460464,2.4425017e-05,0.97460464
glaco,small,4.8538987e-05,0.016941069,0.00032004651,4.5177692e-05,0.97623507,3.2375832e-05,0.97623507
glaco,small,4.8538987e-05,0.016941069,0.00032004651,5.482662e-05,0.97671458,4.202476e-05,0.97671458
glaco,small,4.8538987e-05,0.016941069,0.00032004651,6.653634e-05,0.97628421,5.373448e-05,0.97628421
glaco,small,4.8538987e-05,0.016941069,0.00032004651,8.074699e-05,0.97526492,6.794513e-05,0.97526492
glaco,small,4.8538987e-05,0.016941069,0.00032004651,9.7992711e-05,0.973916,8.5190851e-05,0.973916
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00011892173,0.97241334,0.00010611987,0.97241334
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0001443207,0.97085981,0.00013151884,0.97085981
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00017514433,0.9707131,0.00016234247,0.9707131
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00021255117,0.97120686,0.00019974931,0.97120686
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00025794727,0.97043447,0.00024514541,0.97043447
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00031303894,0.96886049,0.00030023708,0.96886049
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00037989695,0.96685895,0.00036709509,0.96685895
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0004610343,0.96469915,0.00044823244,0.96469915
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00055950074,0.96254172,0.00054669888,0.96254172
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00067899738,0.96222486,0.00066619552,0.96222486
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.00082401579,0.96186326,0.00081121393,0.96186326
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0010000068,0.9608135,0.00098720497,0.9608135
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0012135856,0.9592227,0.0012007837,0.9592227
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0014727798,0.95749633,0.001459978,0.95749633
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0017873321,0.95721379,0.0017745303,0.95721379
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0021690657,0.95705944,0.0021562638,0.95705944
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0026323288,0.95614189,0.0026195269,0.95614189
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0031945344,0.95491999,0.0031817325,0.95491999
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0038768143,0.95480984,0.0038640124,0.95480984
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0047048137,0.95437507,0.0046920118,0.95437507
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0057096549,0.95335221,0.0056968531,0.95335221
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0069291074,0.95307082,0.0069163056,0.95307082
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.0084090072,0.95242858,0.0083962054,0.95242858
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.01020498,0.95166418,0.010192178,0.95166418
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.012384532,0.95125185,0.01237173,0.95125185
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.015029586,0.95035629,0.015016784,0.95035629
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.018239564,0.94984474,0.018226762,0.94984474
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.02213512,0.94882644,0.022122319,0.94882644
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.026862679,0.94804372,0.026849877,0.94804372
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.032599937,0.94663611,0.032587135,0.94663611
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.039562542,0.94523412,0.03954974,0.94523412
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.048012202,0.94307646,0.0479994,0.94307646
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.058266516,0.94041516,0.058253714,0.94041516
glaco,small,4.8538987e-05,0.016941069,0.00032004651,0.07071092,0.93707066,0.070698118,0.93707066
